Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
16 ; Herr ; Dr. ; Detlef ; Schwenk ; 8.4.1925 ; Neusser Str. 85 ; 17111 ; Verchen ; 03994 / 7398117 ; 0171 / 1860638 ; 03994 / 13808027 ; d.schwenk@mail.xyz ; ja
17 ; Frau ; Dr. ; Gudrun ; Schiller ; 23.12.1983 ; Gasselstiege 15 ; 06571 ; Nausitz ; 03466 / 8477040 ; 0152 / 7687154 ; 03466 / 85337037 ; g.schiller@mail.xyz ; ja
18 ; Frau ; Dr. ; Angelina ; Lehnen ; 14.5.1978 ; Hindenburgplatz 122 ; 09390 ; Gornsdorf ; 03721 / 99493153 ; 0168 / 9789633 ; 03721 / 84981446 ; a.lehnen@mail.xyz ; ja
19 ; Frau ; Dr. ; Bettina ; Wulf ; 11.1.1992 ; Dammstr. 7 ; 55278 ; Uelversheim ; 06249 / 27014576 ; 0172 / 4712455 ; 06249 / 98511265 ; bettina.wulf@mail.xyz ; ja
20 ; Frau ; Dr. ; Samantha ; Land ; 14.1.1976 ; Skagerrakstr. 188 ; 23911 ; Ziethen ; 04541 / 693729 ; 0174 / 6544718 ; 04541 / 83982790 ; samantha.land@mail.xyz ; ja
21 ; Herr ; Dr. ; Roman ; Pratt ; 19.7.1984 ; Olpener Str. 129a ; 53518 ; Adenau ; 02691 / 36218056 ; 0165 / 7829440 ; 02691 / 83284126 ; roman.pratt@mail.xyz ; ja
22 ; Frau ; Dr. ; Lucia ; Wade ; 23.4.1993 ; Heinrichstr. 113 ; 24409 ; Stoltebüll ; 04642 / 12923183 ; 0167 / 8727754 ; 04642 / 9987333 ; lucia.wade@mail.xyz ; ja
23 ; Frau ; Dr. ; Annika ; Wunderlich ; 7.5.1941 ; Am Brook 53 ; 71696 ; Möglingen ; 07141 / 73864345 ; 0160 / 7626115 ; 07141 / 42005410 ; annika.wunderlich@mail.xyz ; ja
24 ; Frau ; Dr. ; Jil ; Steele ; 27.2.1955 ; Zur Gräfte 86 ; 48527 ; Nordhorn ; 05921 / 78101715 ; 0162 / 7015880 ; 05921 / 56995150 ; jil.steele@mail.xyz ; ja
25 ; Frau ; Prof. ; Emily ; Balz ; 2.8.1973 ; Steinkamp 31 ; 99880 ; Hörselgau ; 03622 / 23240611 ; 0173 / 8118871 ; 03622 / 21010459 ; e.balz@mail.xyz ; ja
26 ; Herr ; Dr. ; Alfred ; Steffen ; 16.5.1985 ; Hensenstr. 157 ; 09030 ; Chemnitz ; 0371 / 38329913 ; 0156 / 6771842 ; 0371 / 44905131 ; a.steffen@mail.xyz ; ja
27 ; Herr ; Dr. ; Bernhard ; Schweikert ; 20.3.1931 ; Am Krausen Baum 51 ; 24969 ; Großenwiehe ; 04604 / 39522707 ; 0152 / 7244566 ; 04604 / 90455315 ; bernhard.schweikert@mail.xyz ; ja
28 ; Herr ; Dr. ; Philipp ; Hennings ; 10.9.1963 ; Sentmaringer Weg 86 ; 02979 ; Spreetal ; 04155 / 51308032 ; 0157 / 7858885 ; 04155 / 78165758 ; philipp.hennings@mail.xyz ; ja
29 ; Frau ; Dr. ; Celine ; Cortez ; 14.6.1935 ; Kleiner Griechenmarkt 76 ; 41516 ; Grevenbroich ; 02181 / 16758410 ; 0164 / 3521477 ; 02181 / 24446086 ; c.cortez@mail.xyz ; ja
30 ; Frau ; Prof. ; Lena ; Janssen ; 15.4.1989 ; Lassallestr. 70 ; 65582 ; Hambach ; 06432 / 59650610 ; 0154 / 2933600 ; 06432 / 91299000 ; l.janssen@mail.xyz ; ja
31 ; Frau ; Dr. ; Edith ; Cunningham ; 21.10.1988 ; Langeworth 104 ; 63607 ; Wächtersbach ; 06053 / 50807771 ; 0166 / 6658011 ; 06053 / 43842598 ; e.cunningham@mail.xyz ; ja
32 ; Herr ; Dr. ; Enno ; Tappe ; 28.5.1949 ; Neusser Str. 49 ; 17192 ; Varchentin ; 03991 / 27435867 ; 0179 / 6729481 ; 03991 / 77644393 ; e.tappe@mail.xyz ; ja
33 ; Frau ; Dr. ; Klara ; Neher ; 1.9.1967 ; Weißenburgstr. 69 ; 25560 ; Warringholz ; 04892 / 48450002 ; 0162 / 1474035 ; 04892 / 52611686 ; klara.neher@mail.xyz ; ja
34 ; Herr ; Dr. ; Fynn ; Albert ; 17.12.1972 ; Zülpicher Str. 122 ; 66954 ; Pirmasens ; 06331 / 2128187 ; 0174 / 4152521 ; 06331 / 15762537 ; f.albert@mail.xyz ; ja
35 ; Herr ; Dr. ; Enno ; Steiger ; 14.3.1932 ; Piusallee 89 ; 55234 ; Erbes-Büdesheim ; 06731 / 2750276 ; 0156 / 1999725 ; 06731 / 64193296 ; enno.steiger@mail.xyz ; ja
36 ; Herr ; Dr. ; Riccardo ; Anderson ; 9.5.1982 ; Kochwiesenstr. 186 ; 03042 ; Cottbus ; 0355 / 28010547 ; 0164 / 4551791 ; 0355 / 48648563 ; r.anderson@mail.xyz ; ja
37 ; Frau ; Prof. ; Emilia ; Löwe ; 13.7.1990 ; Mecklenbecker Str. 81 ; 27419 ; Lengenbostel ; 04282 / 3890913 ; 0173 / 2821251 ; 04282 / 93410470 ; emilia.loewe@mail.xyz ; ja
38 ; Frau ; Dr. ; Franziska ; Rohde ; 8.12.1994 ; Johann-Krane-Weg 68 ; 79877 ; Friedenweiler ; 07654 / 6722978 ; 0179 / 3175584 ; 07654 / 74706816 ; franziska.rohde@mail.xyz ; ja
39 ; Frau ; Dr. ; Hannelore ; Wassmann ; 25.11.1933 ; Schubertstr. 46 ; 46242 ; Bottrop ; 02041 / 10438699 ; 0168 / 9676485 ; 02041 / 99047787 ; h.wassmann@mail.xyz ; ja
40 ; Frau ; Dr. ; Karoline ; Wagenknecht ; 15.7.1990 ; Neusser Str. 163 ; 67688 ; Rodenbach ; 06374 / 14973340 ; 0175 / 9760206 ; 06374 / 28422146 ; karoline.wagenknecht@mail.xyz ; ja
41 ; Frau ; Dr. ; Kerstin ; Bartels ; 25.2.1986 ; Sporckweg 86 ; 99880 ; Aspach ; 03622 / 62859063 ; 0162 / 5106307 ; 03622 / 23686726 ; k.bartels@mail.xyz ; ja
42 ; Herr ; Dr. ; Fabio ; Katrin ; 6.3.1948 ; Enschedeweg 169 ; 84558 ; Tyrlaching ; 08623 / 57358598 ; 0171 / 8123012 ; 08623 / 35119410 ; fabio.katrin@mail.xyz ; ja
43 ; Frau ; Dr. ; Christel ; Rech ; 10.7.1925 ; Schubertstr. 57 ; 25709 ; Marne ; 04851 / 53002230 ; 0168 / 2038054 ; 04851 / 63880662 ; christel.rech@mail.xyz ; ja
44 ; Frau ; Prof. ; Denise ; Hoffmann ; 7.6.1936 ; Marientalstr. 56 ; 21698 ; Brest ; 04164 / 18186521 ; 0163 / 5438478 ; 04164 / 34965759 ; d.hoffmann@mail.xyz ; ja
45 ; Frau ; Dr. ; Kaya ; Herman ; 11.8.1957 ; Goebenstr. 96 ; 23936 ; Upahl ; 03881 / 58639974 ; 0159 / 8667903 ; 03881 / 17144654 ; k.herman@mail.xyz ; ja
46 ; Herr ; Dr. ; Connor ; Turner ; 1.3.1934 ; Altenhofer Weg 147 ; 72184 ; Eutingen ; 07459 / 88858029 ; 0173 / 4054516 ; 07459 / 45549617 ; connor.turner@mail.xyz ; ja
47 ; Herr ; Prof. ; Kristian ; Debus ; 20.3.1925 ; Wollinstr. 64 ; 02708 ; Rosenbach ; 03585 / 10512219 ; 0169 / 5464271 ; 03585 / 89668725 ; k.debus@mail.xyz ; ja
48 ; Frau ; Dr. ; Lili ; Rech ; 11.12.1975 ; Offenbergstr. 57 ; 27801 ; Dötlingen ; 04433 / 82567490 ; 0174 / 8721321 ; 04433 / 18547262 ; lili.rech@mail.xyz ; ja
49 ; Herr ; Dr. ; Herbert ; Brigitte ; 22.10.1927 ; Marktstr. 156 ; 25355 ; Lutzhorn ; 04123 / 79259815 ; 0162 / 1959849 ; 04123 / 25320569 ; herbert.brigitte@mail.xyz ; ja
50 ; Frau ; Dr. ; Nadin ; Reichert ; 22.10.1987 ; Rinscheweg 118 ; 88287 ; Grünkraut ; 0751 / 53251360 ; 0173 / 1603941 ; 0751 / 2252643 ; n.reichert@mail.xyz ; ja
51 ; Herr ; Dr. ; Hendrik ; Demmel ; 23.3.1959 ; Von-der-Tinnen-Str. 50 ; 58730 ; Fröndenberg ; 02373 / 89877573 ; 0161 / 4452842 ; 02373 / 17082945 ; hendrik.demmel@mail.xyz ; ja
52 ; Herr ; Dr. ; Anthony ; Burmeister ; 8.3.1999 ; Kochwiesenstr. 121 ; 54689 ; Dasburg ; 06550 / 26736411 ; 0171 / 9319904 ; 06550 / 74482780 ; a.burmeister@mail.xyz ; ja
53 ; Frau ; Dr. ; Alyssa ; Kaplan ; 3.8.1975 ; Rosenplatz 51 ; 17091 ; Wolde ; 03960 / 74793033 ; 0168 / 9563036 ; 03960 / 85646656 ; a.kaplan@mail.xyz ; ja
54 ; Herr ; Dr. ; Gerhardt ; Völker ; 23.4.1922 ; Dahlweg 64 ; 39307 ; Karow ; 03933 / 34725532 ; 0165 / 9666623 ; 03933 / 28974804 ; gerhardt.voelker@mail.xyz ; ja
55 ; Frau ; Dr. ; Elke ; Austin ; 27.10.1940 ; Goldregenweg 5 ; 06667 ; Pretzsch ; 03445 / 49962272 ; 0158 / 8699847 ; 03445 / 62991790 ; elke.austin@mail.xyz ; ja
56 ; Frau ; Dr. ; Maike ; Reimers ; 13.1.1928 ; Ostlandstr. 185 ; 49205 ; Hasbergen ; 05405 / 81026127 ; 0160 / 4827362 ; 05405 / 65019036 ; maike.reimers@mail.xyz ; ja
57 ; Frau ; Dr. ; Emmily ; Cramer ; 20.5.1999 ; Schmittingheide 107 ; 87634 ; Günzach ; 08372 / 63906660 ; 0160 / 1255698 ; 08372 / 70159674 ; emmily.cramer@mail.xyz ; ja
58 ; Frau ; Dr. ; Annalena ; Heilmann ; 22.7.1998 ; Schmittingheide 53 ; 34117 ; Kassel ; 0561 / 1718579 ; 0155 / 3093271 ; 0561 / 27331668 ; annalena.heilmann@mail.xyz ; ja
59 ; Frau ; Dr. ; Saskia ; Tolksdorf ; 28.12.1974 ; Lassallestr. 127 ; 30952 ; Ronnenberg ; 05109 / 40300545 ; 0164 / 6707752 ; 05109 / 51581238 ; s.tolksdorf@mail.xyz ; ja
60 ; Herr ; Dr. ; Sascha ; Reinartz ; 15.1.1962 ; Magdalenenstr. 60 ; 78564 ; Reichenbach am Heuberg ; 07429 / 60315589 ; 0163 / 4795825 ; 07429 / 15387841 ; sascha.reinartz@mail.xyz ; ja
61 ; Frau ; Dr. ; Charlotte ; Kaden ; 2.9.1924 ; Schubertstr. 91 ; 30519 ; Hannover ; 0511 / 64895396 ; 0170 / 1075254 ; 0511 / 27372644 ; charlotte.kaden@mail.xyz ; ja
62 ; Herr ; Dr. ; Lennox ; Siegel ; 28.1.1989 ; Schmeddingstr. 159 ; 29356 ; Bröckel ; 05144 / 53982639 ; 0152 / 6852868 ; 05144 / 66250297 ; lennox.siegel@mail.xyz ; ja
63 ; Frau ; Prof. ; Manuela ; Singer ; 10.1.1936 ; Oscar-Wilde-Str. 28 ; 97631 ; Bad Königshofen ; 09761 / 76412554 ; 0166 / 4380647 ; 09761 / 17935224 ; manuela.singer@mail.xyz ; ja
64 ; Herr ; Dr. ; Niklas ; Edler ; 18.7.1929 ; Weserstr. 114 ; 24980 ; Meyn ; 04639 / 39527593 ; 0163 / 2508418 ; 04639 / 59494210 ; niklas.edler@mail.xyz ; ja
65 ; Herr ; Dr. ; Harald ; Dreher ; 6.10.1925 ; Kösliner Str. 11 ; 55585 ; Norheim ; 06708 / 39901940 ; 0172 / 7254862 ; 06708 / 89124209 ; h.dreher@mail.xyz ; ja
66 ; Herr ; Dr. ; Ole ; Gast ; 3.8.1928 ; Schützenstr. 193 ; 34289 ; Zierenberg ; 05606 / 2110521 ; 0160 / 4804392 ; 05606 / 16106887 ; ole.gast@mail.xyz ; ja
67 ; Frau ; Dr. ; Janine ; Haak ; 24.8.1953 ; Schmeddingstr. 79 ; 84030 ; Landshut ; 0871 / 48710260 ; 0174 / 9442576 ; 0871 / 88737576 ; janine.haak@mail.xyz ; ja
68 ; Herr ; Dr. ; Mike ; Probst ; 12.8.1969 ; Dauvemühle 197 ; 52385 ; Nideggen ; 02427 / 75017450 ; 0172 / 7545752 ; 02427 / 63096698 ; m.probst@mail.xyz ; ja
69 ; Herr ; Dr. ; Sven ; Cramer ; 6.10.1931 ; Ripenhorst 137 ; 17089 ; Grischow ; 03965 / 88756366 ; 0179 / 5499874 ; 03965 / 39384066 ; s.cramer@mail.xyz ; ja
70 ; Herr ; Dr. ; Mohammed ; Reiser ; 1.1.1946 ; Marderweg 72 ; 56237 ; Wittgert ; 02623 / 2426835 ; 0155 / 3373284 ; 02623 / 32501324 ; m.reiser@mail.xyz ; ja
71 ; Frau ; Dr. ; Sinah ; Michael ; 3.5.1960 ; Oberschlesier Str. 138 ; 38448 ; Wolfsburg ; 05361 / 68587779 ; 0170 / 9444500 ; 05361 / 77868683 ; s.michael@mail.xyz ; ja
72 ; Frau ; Dr. ; Alexandra ; Landwehr ; 4.10.1932 ; Wörthstr. 2a ; 16341 ; Panketal ; 030 / 7664030 ; 0164 / 2535361 ; 030 / 71261942 ; alexandra.landwehr@mail.xyz ; ja
73 ; Herr ; Dr. ; Gerhard ; Mundt ; 23.4.1959 ; Am Ziegelofen 37 ; 25889 ; Witzwort ; 04881 / 60093591 ; 0159 / 5646523 ; 04881 / 79296808 ; g.mundt@mail.xyz ; ja
74 ; Frau ; Dr. ; Friederike ; Kirchhoff ; 9.2.1956 ; Nieland 43 ; 54675 ; Roth an der Our ; 06564 / 76389559 ; 0171 / 9948205 ; 06564 / 58301406 ; friederike.kirchhoff@mail.xyz ; ja
75 ; Frau ; Dr. ; Nadin ; Hild ; 2.6.1970 ; Wormser Str. 162 ; 99338 ; Neusiß ; 03677 / 71591705 ; 0179 / 5485509 ; 03677 / 8244203 ; nadin.hild@mail.xyz ; ja
76 ; Herr ; Dr. ; Thies ; Briggs ; 8.10.1980 ; Meesenstiege 166 ; 96151 ; Breitbrunn ; 09536 / 16708045 ; 0168 / 9044183 ; 09536 / 11778646 ; thies.briggs@mail.xyz ; ja
77 ; Frau ; Dr. ; Frida ; Gaus ; 4.6.1955 ; Heinrichstr. 79 ; 14621 ; Schönwalde-Glien ; 03322 / 60232175 ; 0155 / 3619027 ; 03322 / 58111277 ; frida.gaus@mail.xyz ; ja
78 ; Herr ; Dr. ; Piet ; Johnson ; 26.5.1981 ; Berrischstr. 189 ; 65529 ; Waldems ; 06087 / 32674595 ; 0175 / 9604130 ; 06087 / 64317536 ; p.johnson@mail.xyz ; ja
79 ; Herr ; Dr. ; Kay ; Perry ; 20.3.1944 ; Wildpfad 2 ; 79872 ; Bernau ; 07675 / 16848453 ; 0179 / 3485619 ; 07675 / 71104899 ; kay.perry@mail.xyz ; ja
80 ; Herr ; Dr. ; Bernhard ; Butler ; 17.12.1983 ; Am Wigbold 131 ; 23909 ; Albsfelde ; 04541 / 59435805 ; 0169 / 6924081 ; 04541 / 10537813 ; b.butler@mail.xyz ; ja
81 ; Frau ; Prof. ; Helga ; Eger ; 11.8.1934 ; Hermann-Treff-Weg 62 ; 19288 ; Göhlen ; 03874 / 53697422 ; 0172 / 3373750 ; 03874 / 56108766 ; h.eger@mail.xyz ; ja
82 ; Frau ; Dr. ; Bettina ; Katrin ; 17.8.1982 ; Möserweg 92 ; 74930 ; Ittlingen ; 07266 / 93460584 ; 0172 / 2861620 ; 07266 / 3761511 ; b.katrin@mail.xyz ; ja
83 ; Herr ; Prof. ; Jasper ; Baier ; 18.4.1986 ; Sanddornweg 62 ; 91097 ; Oberreichenbach ; 09104 / 12007533 ; 0167 / 4159706 ; 09104 / 83137653 ; j.baier@mail.xyz ; ja
84 ; Herr ; Dr. ; Jonah ; Fast ; 23.6.1955 ; Heinrichstr. 181 ; 64653 ; Lorsch ; 06251 / 51090697 ; 0170 / 6079727 ; 06251 / 89220973 ; j.fast@mail.xyz ; ja
85 ; Frau ; Dr. ; Janina ; Ballmann ; 22.8.1991 ; Handorfer Str. 14 ; 56338 ; Braubach ; 02627 / 35193431 ; 0166 / 1320055 ; 02627 / 65778500 ; janina.ballmann@mail.xyz ; ja
86 ; Herr ; Dr. ; Joel ; Karrer ; 26.11.1994 ; Breul 86 ; 23826 ; Fredesdorf ; 04552 / 62903844 ; 0169 / 6113714 ; 04552 / 12473366 ; joel.karrer@mail.xyz ; ja
87 ; Herr ; Dr. ; Luke ; Krieger ; 21.8.1983 ; Ulmenweg 29 ; 86163 ; Augsburg ; 0821 / 24671287 ; 0167 / 6030273 ; 0821 / 62828684 ; luke.krieger@mail.xyz ; ja
88 ; Frau ; Prof. ; Isabelle ; Rech ; 19.9.1963 ; Lammerbach 73 ; 84573 ; Schönberg ; 08637 / 28782338 ; 0176 / 3634293 ; 08637 / 26368518 ; isabelle.rech@mail.xyz ; ja
89 ; Herr ; Dr. ; Rudolf ; Ludolf ; 27.1.1979 ; Wildpfad 111 ; 56753 ; Naunheim ; 02654 / 30366171 ; 0153 / 5622253 ; 02654 / 73961477 ; rudolf.ludolf@mail.xyz ; ja
90 ; Herr ; Dr. ; Jörn ; Ott ; 11.5.1974 ; Papenbusch 109 ; 27574 ; Bremerhaven ; 0471 / 23640940 ; 0156 / 6010815 ; 0471 / 83356544 ; j.ott@mail.xyz ; ja
91 ; Frau ; Dr. ; Lisa ; Saunders ; 12.9.1957 ; Pankokstr. 9 ; 56858 ; Altlay ; 06543 / 57436057 ; 0164 / 1149550 ; 06543 / 1743089 ; lisa.saunders@mail.xyz ; ja
92 ; Frau ; Prof. ; Catarina ; Hertwig ; 27.12.1980 ; Bernhard-Poether-Str. 167 ; 23701 ; Eutin ; 04521 / 94413115 ; 0169 / 7193959 ; 04521 / 38089770 ; catarina.hertwig@mail.xyz ; ja
93 ; Herr ; Dr. ; Alfred ; Huth ; 19.12.1976 ; Schwalbenweg 40 ; 94157 ; Perlesreut ; 08555 / 58736023 ; 0161 / 6868138 ; 08555 / 51975149 ; alfred.huth@mail.xyz ; ja
94 ; Herr ; Dr. ; Matthies ; Stefan ; 18.6.1997 ; Hindenburgplatz 161 ; 27616 ; Hollen ; 04747 / 69314818 ; 0162 / 1912053 ; 04747 / 56359743 ; matthies.stefan@mail.xyz ; ja
95 ; Frau ; Prof. ; Klara ; Raschke ; 10.5.1936 ; Holunderweg 74 ; 89431 ; Bächingen an der Brenz ; 07325 / 13049283 ; 0170 / 9438947 ; 07325 / 41506885 ; klara.raschke@mail.xyz ; ja
96 ; Herr ; Dr. ; Lasse ; Saunders ; 24.8.1991 ; Kappenberger Damm 73 ; 54570 ; Densborn ; 06591 / 69364835 ; 0170 / 3503955 ; 06591 / 19838183 ; l.saunders@mail.xyz ; ja
97 ; Herr ; Prof. ; Luca ; Fendt ; 12.8.1950 ; Emdener Str. 46 ; 56412 ; Gackenbach ; 06439 / 65812941 ; 0160 / 9157096 ; 06439 / 59378018 ; l.fendt@mail.xyz ; ja
98 ; Herr ; Dr. ; Alex ; Fleck ; 12.3.1952 ; Kreuzstr. 55 ; 31555 ; Suthfeld ; 05723 / 21126605 ; 0156 / 8520590 ; 05723 / 8511065 ; alex.fleck@mail.xyz ; ja
99 ; Herr ; Dr. ; Joshua ; Rasche ; 17.2.1978 ; Carossastr. 153 ; 55595 ; Hargesheim ; 0671 / 82861839 ; 0164 / 9056804 ; 0671 / 1209127 ; joshua.rasche@mail.xyz ; ja
100 ; Frau ; Dr. ; Katja ; Jacobi ; 8.7.1947 ; Neißestr. 5 ; 56357 ; Ruppertshofen ; 06772 / 35287551 ; 0157 / 2794259 ; 06772 / 9084168 ; k.jacobi@mail.xyz ; ja
101 ; Herr ; Dr. ; Patrick ; Tewes ; 22.9.1931 ; Am Nubbenberg 137 ; 65462 ; Ginsheim-Gustavsburg ; 06134 / 39662611 ; 0175 / 8958200 ; 06134 / 37954572 ; p.tewes@mail.xyz ; ja
102 ; Frau ; Dr. ; Heidi ; Schüller ; 2.1.1970 ; Wiedehagen 130 ; 66871 ; Selchenbach ; 06381 / 78897302 ; 0160 / 4231605 ; 06381 / 51222320 ; h.schueller@mail.xyz ; ja
103 ; Herr ; Dr. ; Ullrich ; Kraus ; 17.9.1950 ; Nauheimer Str. 4 ; 56294 ; Münstermaifeld ; 02654 / 62885428 ; 0158 / 8797854 ; 02654 / 22668820 ; ullrich.kraus@mail.xyz ; ja
104 ; Herr ; Dr. ; Kilian ; Siebert ; 25.5.1934 ; Kochwiesenstr. 137 ; 25709 ; Diekhusen-Fahrstedt ; 04851 / 1811564 ; 0153 / 5972263 ; 04851 / 6660562 ; kilian.siebert@mail.xyz ; ja
105 ; Frau ; Dr. ; Sylvia ; Pawlowski ; 19.4.1950 ; Mersmannsstiege 88 ; 75449 ; Wurmberg ; 07044 / 96974884 ; 0170 / 2058591 ; 07044 / 68574167 ; sylvia.pawlowski@mail.xyz ; ja
106 ; Herr ; Dr. ; Franz ; Spahn ; 21.6.1935 ; Äußere Kanalstr. 63 ; 25355 ; Bevern ; 04123 / 96191933 ; 0171 / 3830451 ; 04123 / 42280413 ; f.spahn@mail.xyz ; ja
107 ; Frau ; Dr. ; Elisabeth ; Dörr ; 23.6.1939 ; Wormser Str. 50 ; 25596 ; Nienbüttel ; 04827 / 91510548 ; 0162 / 4290069 ; 04827 / 15495009 ; e.doerr@mail.xyz ; ja
108 ; Frau ; Dr. ; Linn ; Ott ; 9.9.1939 ; Landoisstr. 16 ; 19230 ; Pätow-Steegen ; 03883 / 95956033 ; 0162 / 8233946 ; 03883 / 37277562 ; l.ott@mail.xyz ; ja
109 ; Frau ; Dr. ; Svea ; Castro ; 22.7.1976 ; Grevener Str. 59 ; 37434 ; Gieboldehausen ; 05528 / 25472292 ; 0168 / 2322734 ; 05528 / 84912902 ; svea.castro@mail.xyz ; ja
110 ; Herr ; Dr. ; Mats ; Jonas ; 7.3.1928 ; Stettiner Str. 34 ; 54533 ; Gipperath ; 06572 / 1596086 ; 0157 / 7678132 ; 06572 / 40617098 ; mats.jonas@mail.xyz ; ja
111 ; Herr ; Prof. ; Justin ; Bernhardt ; 6.11.1945 ; Zur Gräfte 189 ; 36093 ; Künzell ; 0661 / 10039170 ; 0164 / 5214958 ; 0661 / 16305977 ; j.bernhardt@mail.xyz ; ja
112 ; Frau ; Dr. ; Rita ; Versatel ; 11.10.1977 ; Papenbusch 155 ; 94239 ; Zachenberg ; 09929 / 57819620 ; 0165 / 2666341 ; 09929 / 62382996 ; rita.versatel@mail.xyz ; ja
113 ; Herr ; Dr. ; Jakob ; Sieber ; 9.9.1971 ; Gescherweg 115 ; 66887 ; Jettenbach ; 06304 / 1372557 ; 0154 / 4114237 ; 06304 / 30418961 ; jakob.sieber@mail.xyz ; ja
114 ; Herr ; Dr. ; Niklas ; Krey ; 6.2.1999 ; Florentine-Eichler-Str. 135 ; 49779 ; Niederlangen ; 05933 / 84476216 ; 0173 / 7062695 ; 05933 / 64508413 ; niklas.krey@mail.xyz ; ja
115 ; Herr ; Prof. ; Nik ; Figueroa ; 20.3.1995 ; Mondstr. 76a ; 96049 ; Bamberg ; 0951 / 76285902 ; 0155 / 5404904 ; 0951 / 63176789 ; nik.figueroa@mail.xyz ; ja
116 ; Herr ; Dr. ; Curt ; Schiffer ; 11.2.1937 ; Steinfurter Str. 125 ; 23843 ; Rümpel ; 04531 / 67782436 ; 0170 / 8556562 ; 04531 / 92957616 ; c.schiffer@mail.xyz ; ja
117 ; Frau ; Prof. ; Ayleen ; Brandt ; 14.3.1932 ; Mondstr. 46 ; 54533 ; Gransdorf ; 06563 / 3731239 ; 0157 / 1369793 ; 06563 / 26358228 ; ayleen.brandt@mail.xyz ; ja
