Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
37 ; Herr ; Prof. ; Marten ; Keim ; 1.10.1949 ; Ripenhorst 107 ; 91625 ; Schnelldorf ; 07950 / 22584945 ; 0154 / 6852315 ; 07950 / 19834411 ; marten.keim@mail.xyz ; ja
38 ; Herr ; Dr. ; Jean ; Horton ; 10.6.1930 ; Meinertzstr. 198 ; 49844 ; Bawinkel ; 05963 / 51200915 ; 0151 / 6370481 ; 05963 / 45152864 ; jean.horton@mail.xyz ; ja
39 ; Frau ; Dr. ; Olivia ; Taylor ; 6.6.1941 ; Marsweg 52 ; 06122 ; Halle ; 0345 / 58365396 ; 0157 / 6084784 ; 0345 / 36253816 ; olivia.taylor@mail.xyz ; ja
40 ; Herr ; Dr. ; Hartmut ; Lanz ; 4.1.1961 ; Gottesweg 134 ; 57581 ; Katzwinkel ; 02741 / 58805629 ; 0165 / 2911300 ; 02741 / 40629474 ; h.lanz@mail.xyz ; ja
41 ; Herr ; Dr. ; Michael ; Mahler ; 12.7.1979 ; Kleiner Griechenmarkt 139 ; 24601 ; Stolpe ; 04326 / 11067556 ; 0151 / 1590999 ; 04326 / 56207356 ; m.mahler@mail.xyz ; ja
42 ; Herr ; Prof. ; Walter ; Briggs ; 19.3.1927 ; Hirseweg 177 ; 93485 ; Rimbach ; 09941 / 6623821 ; 0151 / 1052110 ; 09941 / 88861839 ; w.briggs@mail.xyz ; ja
43 ; Herr ; Dr. ; Mads ; Hinrichs ; 2.9.1962 ; Bielefelder Str. 52 ; 53506 ; Hönningen ; 02643 / 8367032 ; 0159 / 2042813 ; 02643 / 1697590 ; m.hinrichs@mail.xyz ; ja
44 ; Herr ; Dr. ; Luka ; Schneider ; 28.11.1958 ; Telemannstr. 179 ; 54570 ; Densborn ; 06591 / 99910663 ; 0175 / 2093526 ; 06591 / 8589214 ; luka.schneider@mail.xyz ; ja
45 ; Frau ; Prof. ; Leandra ; Spencer ; 7.10.1940 ; Königsberger Str. 174 ; 97773 ; Aura ; 09356 / 69418955 ; 0161 / 6277918 ; 09356 / 23374055 ; leandra.spencer@mail.xyz ; ja
46 ; Frau ; Dr. ; Catrin ; Schwarze ; 5.11.1992 ; Magdalenenstr. 81 ; 98673 ; Eisfeld ; 03686 / 11838334 ; 0152 / 2822297 ; 03686 / 98144844 ; c.schwarze@mail.xyz ; ja
47 ; Frau ; Dr. ; Karoline ; Carl ; 27.4.1927 ; Dachsleite 15 ; 06727 ; Döbris ; 03441 / 71070602 ; 0161 / 8221696 ; 03441 / 29146351 ; karoline.carl@mail.xyz ; ja
48 ; Herr ; Dr. ; Claas ; Rack ; 25.12.1957 ; Sentmaringer Weg 184 ; 27404 ; Heeslingen ; 04281 / 14052415 ; 0169 / 4102275 ; 04281 / 69808016 ; claas.rack@mail.xyz ; ja
49 ; Frau ; Prof. ; Astrid ; Gerd ; 28.9.1958 ; Hermann-Treff-Weg 64 ; 67753 ; Relsberg ; 06304 / 88281429 ; 0178 / 7273171 ; 06304 / 4882368 ; astrid.gerd@mail.xyz ; ja
50 ; Herr ; Dr. ; Simon ; Künzel ; 11.5.1996 ; Düesbergweg 153a ; 74395 ; Mundelsheim ; 07143 / 41927895 ; 0154 / 5507782 ; 07143 / 43782595 ; s.kuenzel@mail.xyz ; ja
51 ; Herr ; Dr. ; Benedikt ; Westphal ; 20.1.1977 ; Birkenweg 154 ; 23898 ; Kühsen ; 04543 / 65494259 ; 0177 / 4773596 ; 04543 / 21438428 ; benedikt.westphal@mail.xyz ; ja
52 ; Herr ; Dr. ; Jonah ; Kahle ; 19.9.1994 ; Merheimer Str. 144 ; 33442 ; Herzebrock-Clarholz ; 05245 / 98871328 ; 0168 / 9791712 ; 05245 / 44735231 ; j.kahle@mail.xyz ; ja
53 ; Herr ; Dr. ; Linus ; Barth ; 3.10.1985 ; Sentmaringer Weg 80 ; 94253 ; Bischofsmais ; 09920 / 47897837 ; 0172 / 9894311 ; 09920 / 6679132 ; l.barth@mail.xyz ; ja
54 ; Herr ; Dr. ; Wilhelm ; Thomas ; 12.9.1985 ; Telemannstr. 194 ; 31867 ; Messenkamp ; 05723 / 29209826 ; 0152 / 9348839 ; 05723 / 86241616 ; w.thomas@mail.xyz ; ja
55 ; Herr ; Prof. ; Jacob ; Reisinger ; 10.12.1959 ; Handorfer Str. 47 ; 88379 ; Guggenhausen ; 07503 / 66233561 ; 0161 / 6245374 ; 07503 / 87298190 ; jacob.reisinger@mail.xyz ; ja
56 ; Herr ; Dr. ; Lucas ; Kahle ; 20.10.1964 ; Methweg 129 ; 74676 ; Niedernhall ; 07940 / 40270891 ; 0171 / 9424983 ; 07940 / 68619929 ; lucas.kahle@mail.xyz ; ja
57 ; Herr ; Prof. ; Jesse ; Stahlgruber ; 12.2.1953 ; Overbergstr. 129 ; 97900 ; Külsheim ; 09345 / 59506612 ; 0160 / 4415432 ; 09345 / 61909107 ; jesse.stahlgruber@mail.xyz ; ja
58 ; Herr ; Dr. ; Marius ; Padilla ; 10.6.1995 ; Goebenstr. 59 ; 86984 ; Prem ; 08862 / 30474963 ; 0166 / 1091099 ; 08862 / 49799780 ; marius.padilla@mail.xyz ; ja
59 ; Frau ; Dr. ; Melina ; Merk ; 26.6.1966 ; Mindener Str. 20 ; 83413 ; Fridolfing ; 08684 / 98237328 ; 0167 / 6240868 ; 08684 / 34602913 ; melina.merk@mail.xyz ; ja
60 ; Frau ; Prof. ; Katrin ; Hennig ; 14.9.1980 ; Marderweg 179 ; 56237 ; Wittgert ; 02623 / 45092529 ; 0158 / 3085496 ; 02623 / 92799211 ; k.hennig@mail.xyz ; ja
61 ; Frau ; Dr. ; Kyra ; Bischoff ; 1.9.1982 ; Marientalstr. 177 ; 55599 ; Siefersheim ; 06703 / 34119587 ; 0164 / 9769059 ; 06703 / 82044688 ; k.bischoff@mail.xyz ; ja
62 ; Herr ; Prof. ; Jacob ; Pfeffer ; 2.11.1968 ; Am Wigbold 164 ; 18528 ; Rappin ; 03838 / 11137773 ; 0170 / 1598376 ; 03838 / 83696224 ; jacob.pfeffer@mail.xyz ; ja
63 ; Frau ; Dr. ; Kaya ; Spies ; 7.4.1924 ; Friesenring 75 ; 34376 ; Immenhausen ; 05673 / 41056901 ; 0168 / 1828590 ; 05673 / 81800216 ; kaya.spies@mail.xyz ; ja
64 ; Frau ; Dr. ; Anja ; Körber ; 1.5.1996 ; Mecklenbecker Str. 164 ; 94137 ; Bayerbach ; 08532 / 94835195 ; 0153 / 5017487 ; 08532 / 7338735 ; anja.koerber@mail.xyz ; ja
65 ; Frau ; Dr. ; Mareike ; Chambers ; 15.11.1972 ; Werkstattstr. 14 ; 83093 ; Bad Endorf ; 08053 / 70878987 ; 0176 / 4561651 ; 08053 / 81523638 ; mareike.chambers@mail.xyz ; ja
66 ; Frau ; Prof. ; Jill ; Gruber ; 18.7.1936 ; Schmeddingstr. 169 ; 55758 ; Allenbach ; 06786 / 43439568 ; 0154 / 1147125 ; 06786 / 62134183 ; jill.gruber@mail.xyz ; ja
67 ; Frau ; Prof. ; Rebecca ; Kautz ; 1.3.1961 ; Methweg 121 ; 34270 ; Schauenburg ; 05601 / 51439649 ; 0171 / 2789213 ; 05601 / 15153136 ; rebecca.kautz@mail.xyz ; ja
68 ; Herr ; Dr. ; Damian ; Hummel ; 6.9.1945 ; Janningsweg 67 ; 56291 ; Norath ; 06747 / 81471775 ; 0158 / 4636527 ; 06747 / 11336229 ; damian.hummel@mail.xyz ; ja
69 ; Frau ; Dr. ; Vivien ; Seifert ; 25.7.1931 ; Am Hörsterfriedhof 33 ; 54597 ; Matzerath ; 06551 / 85078918 ; 0167 / 4169281 ; 06551 / 48067222 ; v.seifert@mail.xyz ; ja
70 ; Frau ; Dr. ; Janne ; Lindemann ; 8.9.1983 ; Dodostr. 67 ; 94145 ; Haidmühle ; 08556 / 43652863 ; 0178 / 2471886 ; 08556 / 54523593 ; j.lindemann@mail.xyz ; ja
71 ; Herr ; Dr. ; Matis ; Alberts ; 2.8.1996 ; Mariendorfer Str. 149 ; 66484 ; Walshausen ; 06332 / 90080214 ; 0178 / 9712801 ; 06332 / 98015833 ; m.alberts@mail.xyz ; ja
72 ; Frau ; Prof. ; Frida ; Penner ; 21.7.1998 ; Sanddornweg 39 ; 67744 ; Schweinschied ; 06753 / 66695286 ; 0161 / 4184650 ; 06753 / 376648 ; frida.penner@mail.xyz ; ja
73 ; Herr ; Prof. ; Fabian ; Bartels ; 20.9.1999 ; Kösliner Str. 188 ; 19230 ; Moraas ; 03883 / 15264024 ; 0160 / 1251967 ; 03883 / 27298481 ; f.bartels@mail.xyz ; ja
74 ; Frau ; Dr. ; Käthe ; Haffner ; 6.1.1986 ; Hogenbergstr. 17 ; 49549 ; Ladbergen ; 05485 / 60401649 ; 0176 / 4742762 ; 05485 / 3488722 ; k.haffner@mail.xyz ; ja
75 ; Herr ; Dr. ; Jeremie ; Heine ; 1.8.1998 ; Goldregenweg 193 ; 24256 ; Stoltenberg ; 04384 / 90255699 ; 0164 / 2465258 ; 04384 / 64421586 ; j.heine@mail.xyz ; ja
76 ; Frau ; Dr. ; Elfriede ; Schütte ; 4.6.1956 ; Overbergstr. 104 ; 73269 ; Hochdorf ; 07153 / 16547207 ; 0175 / 5832964 ; 07153 / 15487913 ; elfriede.schuette@mail.xyz ; ja
77 ; Frau ; Prof. ; Ruth ; Pabst ; 21.1.1960 ; Kurze Str. 135 ; 54611 ; Scheid ; 06597 / 46006318 ; 0156 / 2292626 ; 06597 / 95718082 ; r.pabst@mail.xyz ; ja
78 ; Herr ; Prof. ; Marcus ; Grothe ; 15.12.2000 ; Am Dornbusch 135 ; 49176 ; Hilter am Teutoburger Wald ; 05409 / 89145177 ; 0156 / 2490649 ; 05409 / 49854405 ; m.grothe@mail.xyz ; ja
79 ; Herr ; Dr. ; Liam ; Reischl ; 10.12.1963 ; Gremmendorfer Weg 89 ; 79597 ; Schallbach ; 07621 / 74508089 ; 0160 / 9847502 ; 07621 / 41361048 ; liam.reischl@mail.xyz ; ja
80 ; Herr ; Dr. ; Heiko ; Klotz ; 24.5.1986 ; Kurneystr. 58 ; 56370 ; Eisighofen ; 06486 / 70515401 ; 0151 / 1367389 ; 06486 / 87911721 ; h.klotz@mail.xyz ; ja
81 ; Frau ; Dr. ; Annica ; Galle ; 2.7.1978 ; Wörthstr. 124a ; 65479 ; Raunheim ; 06142 / 97529147 ; 0179 / 7749366 ; 06142 / 2065031 ; annica.galle@mail.xyz ; ja
82 ; Herr ; Dr. ; Jean ; Tamm ; 5.12.1994 ; Rosenplatz 53 ; 82266 ; Inning am Ammersee ; 08143 / 93637220 ; 0163 / 8530978 ; 08143 / 87833519 ; jean.tamm@mail.xyz ; ja
83 ; Herr ; Prof. ; Kjell ; Siedler ; 22.10.2000 ; Kappenberger Damm 37 ; 60435 ; Frankfurt am Main ; 069 / 5750238 ; 0151 / 4860020 ; 069 / 89478917 ; kjell.siedler@mail.xyz ; ja
84 ; Frau ; Dr. ; Mathilda ; Rasche ; 16.5.1967 ; Von-Holte-Str. 81 ; 28857 ; Syke ; 04242 / 6748593 ; 0151 / 3864586 ; 04242 / 86438375 ; mathilda.rasche@mail.xyz ; ja
85 ; Herr ; Dr. ; Karsten ; Rösner ; 15.3.1949 ; Am Brook 128 ; 66903 ; Altenkirchen ; 06373 / 40019383 ; 0159 / 3381688 ; 06373 / 38924715 ; k.roesner@mail.xyz ; ja
86 ; Herr ; Prof. ; Leander ; Mai ; 23.12.1934 ; Wormser Str. 127 ; 57520 ; Derschen ; 02743 / 65060541 ; 0154 / 9485804 ; 02743 / 2093695 ; l.mai@mail.xyz ; ja
87 ; Herr ; Dr. ; Pascal ; Runge ; 7.12.1970 ; Manfred-von-Richthofen-Str. 72 ; 56357 ; Strüth ; 06772 / 71200066 ; 0151 / 8427442 ; 06772 / 16486124 ; pascal.runge@mail.xyz ; ja
88 ; Herr ; Prof. ; Joachim ; Harvey ; 28.5.1963 ; Am Wigbold 162 ; 55624 ; Oberkirn ; 06544 / 9718474 ; 0151 / 1088066 ; 06544 / 73096590 ; joachim.harvey@mail.xyz ; ja
89 ; Frau ; Dr. ; Ayleen ; Jansen ; 5.7.1921 ; Flaßkuhl 27 ; 54472 ; Burgen ; 06531 / 36220847 ; 0151 / 6852696 ; 06531 / 72037612 ; a.jansen@mail.xyz ; ja
90 ; Frau ; Dr. ; Milena ; Uhlig ; 19.8.1932 ; Am Hörsterfriedhof 79 ; 06507 ; Timmenrode ; 03947 / 8166144 ; 0158 / 2090803 ; 03947 / 8753978 ; milena.uhlig@mail.xyz ; ja
91 ; Herr ; Dr. ; Bennett ; Geiser ; 10.1.1960 ; Kröver Str. 176 ; 45711 ; Datteln ; 02363 / 50877337 ; 0161 / 1089559 ; 02363 / 2764468 ; b.geiser@mail.xyz ; ja
92 ; Frau ; Prof. ; Finja ; Spangenberg ; 25.4.1955 ; Dortmunder Str. 62 ; 55758 ; Wirschweiler ; 06785 / 74346894 ; 0154 / 4090667 ; 06785 / 617316 ; f.spangenberg@mail.xyz ; ja
93 ; Herr ; Dr. ; Steven ; Krull ; 1.9.1935 ; Rosenplatz 66 ; 74653 ; Künzelsau ; 07940 / 47698829 ; 0169 / 4965038 ; 07940 / 20214483 ; s.krull@mail.xyz ; ja
94 ; Frau ; Dr. ; Malin ; Lotz ; 2.2.1994 ; Arnheimweg 3 ; 74354 ; Besigheim ; 07143 / 54651521 ; 0150 / 1369703 ; 07143 / 58845335 ; malin.lotz@mail.xyz ; ja
95 ; Frau ; Prof. ; Linn ; Borchers ; 20.11.1952 ; Baumberger Str. 166 ; 56254 ; Müden ; 02672 / 48896998 ; 0172 / 6569976 ; 02672 / 74236833 ; linn.borchers@mail.xyz ; ja
96 ; Frau ; Dr. ; Liv ; Goetze ; 10.5.1986 ; Försterstr. 104a ; 24241 ; Blumenthal ; 04322 / 71099922 ; 0155 / 5107360 ; 04322 / 11371965 ; l.goetze@mail.xyz ; ja
97 ; Frau ; Dr. ; Melissa ; Layer ; 4.2.1961 ; Wolbecker Str. 121 ; 34314 ; Espenau ; 05673 / 3898841 ; 0170 / 6809587 ; 05673 / 52211853 ; m.layer@mail.xyz ; ja
98 ; Frau ; Dr. ; Isabella ; Jensen ; 8.3.1972 ; Hahnenstr. 68 ; 56305 ; Döttesfeld ; 02684 / 21207573 ; 0156 / 7743232 ; 02684 / 22235629 ; isabella.jensen@mail.xyz ; ja
99 ; Frau ; Prof. ; Doris ; Taube ; 14.10.1970 ; Bohlweg 131 ; 55758 ; Allenbach ; 06786 / 80483121 ; 0168 / 8882735 ; 06786 / 96372450 ; d.taube@mail.xyz ; ja
100 ; Frau ; Prof. ; Ulrike ; Abels ; 7.8.1960 ; Bielefelder Str. 20 ; 91596 ; Burk ; 09822 / 88793315 ; 0178 / 9074409 ; 09822 / 83031187 ; u.abels@mail.xyz ; ja
101 ; Herr ; Dr. ; Moritz ; Nunez ; 18.10.1992 ; Sophienstr. 20 ; 17091 ; Tützpatz ; 03960 / 66216565 ; 0179 / 1969602 ; 03960 / 63460868 ; moritz.nunez@mail.xyz ; ja
102 ; Herr ; Prof. ; Jasper ; Land ; 3.3.1948 ; Schiffahrter Damm 164 ; 94081 ; Fürstenzell ; 08502 / 8839313 ; 0174 / 1136249 ; 08502 / 25607651 ; j.land@mail.xyz ; ja
103 ; Frau ; Dr. ; Jasmin ; Tappe ; 15.11.1978 ; An den Mühlen 109 ; 53937 ; Schleiden ; 02445 / 71936775 ; 0152 / 1242209 ; 02445 / 76863550 ; j.tappe@mail.xyz ; ja
104 ; Herr ; Prof. ; Christoph ; Saalmann ; 3.7.1946 ; Dammstr. 103 ; 54441 ; Ayl ; 06501 / 59904527 ; 0175 / 6370129 ; 06501 / 22051159 ; christoph.saalmann@mail.xyz ; ja
105 ; Herr ; Dr. ; Detlef ; Feldmann ; 25.6.1990 ; Von-Holte-Str. 56 ; 47229 ; Duisburg ; 0203 / 17736826 ; 0166 / 8165781 ; 0203 / 56727034 ; detlef.feldmann@mail.xyz ; ja
106 ; Frau ; Prof. ; Andrea ; Reeves ; 16.7.1946 ; Marktstr. 200 ; 59379 ; Selm ; 02592 / 34868453 ; 0170 / 7300452 ; 02592 / 57347959 ; a.reeves@mail.xyz ; ja
107 ; Frau ; Dr. ; Jaqueline ; Ganter ; 9.9.1960 ; Soester Str. 123a ; 37235 ; Hessisch Lichtenau ; 05602 / 3797807 ; 0161 / 6079840 ; 05602 / 33415116 ; jaqueline.ganter@mail.xyz ; ja
108 ; Herr ; Prof. ; Robert ; Eberhardt ; 18.10.1932 ; Zülpicher Str. 85 ; 75399 ; Unterreichenbach ; 07235 / 53546461 ; 0167 / 3720078 ; 07235 / 16238704 ; r.eberhardt@mail.xyz ; ja
109 ; Frau ; Dr. ; Cathrin ; Edel ; 6.12.1941 ; Johanniterstr. 42 ; 67316 ; Carlsberg ; 06356 / 26638000 ; 0174 / 8464657 ; 06356 / 78995477 ; cathrin.edel@mail.xyz ; ja
110 ; Frau ; Dr. ; Kira ; Siemon ; 2.10.1943 ; Königsberger Str. 138 ; 61381 ; Köppern ; 06175 / 13045521 ; 0164 / 7024255 ; 06175 / 49834622 ; k.siemon@mail.xyz ; ja
111 ; Frau ; Dr. ; Pauline ; Adkins ; 28.7.1931 ; Max-Winkelmann-Str. 140 ; 56823 ; Büchel ; 02678 / 48694333 ; 0160 / 3949514 ; 02678 / 7686367 ; pauline.adkins@mail.xyz ; ja
112 ; Frau ; Dr. ; Aleyna ; Brendel ; 20.10.1939 ; Kurneystr. 149 ; 74245 ; Löwenstein ; 07130 / 27801701 ; 0176 / 6771639 ; 07130 / 14173215 ; a.brendel@mail.xyz ; ja
113 ; Frau ; Dr. ; Karoline ; Weiler ; 28.7.1965 ; Beuelsweg 3 ; 22145 ; Stapelfeld ; 040 / 87558968 ; 0161 / 6091479 ; 040 / 40377451 ; k.weiler@mail.xyz ; ja
114 ; Frau ; Dr. ; Linn ; Matthews ; 16.9.1986 ; Rincklakeweg 36 ; 25746 ; Norderwöhrden ; 04823 / 35130225 ; 0152 / 3982696 ; 04823 / 48584241 ; linn.matthews@mail.xyz ; ja
115 ; Herr ; Dr. ; Kristof ; Young ; 3.6.1924 ; Papenbusch 94 ; 87640 ; Biessenhofen ; 08341 / 6311312 ; 0172 / 8087205 ; 08341 / 45431295 ; kristof.young@mail.xyz ; ja
116 ; Frau ; Prof. ; Nathalie ; Ward ; 8.1.1984 ; Wollinstr. 4 ; 88471 ; Laupheim ; 07392 / 35571679 ; 0172 / 4748930 ; 07392 / 73183597 ; nathalie.ward@mail.xyz ; ja
117 ; Frau ; Dr. ; Stina ; Hausmann ; 10.5.1988 ; Breslauer Str. 3 ; 24392 ; Brebel ; 04641 / 50164729 ; 0166 / 6908779 ; 04641 / 45428835 ; s.hausmann@mail.xyz ; ja
