Nr. ; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  EMail ;  Newsletter
49 ; Frau ; Dr. ; Lyn ; Eden ; 18.1.1959 ; Münsterstr. 29 ; 45239 ; Essen ; 0201 / 95443234 ; 0157 / 1382342 ; 0201 / 79310279 ; lyn.eden@mail.xyz ; ja
50 ; Frau ; Prof. ; Yvonne ; Riess ; 19.7.1978 ; Ossenkampstiege 34 ; 02979 ; Spreetal ; 04155 / 89642860 ; 0172 / 6736112 ; 04155 / 58671424 ; y.riess@mail.xyz ; ja
51 ; Herr ; Prof. ; Walter ; Fendt ; 9.2.1964 ; Deutz-Kalker Str. 90a ; 09496 ; Pobershau ; 03735 / 83909375 ; 0179 / 1201862 ; 03735 / 10987065 ; w.fendt@mail.xyz ; ja
52 ; Frau ; Dr. ; Josefine ; Moore ; 7.6.1935 ; Liboristr. 65 ; 82399 ; Raisting ; 08807 / 94213154 ; 0165 / 8521018 ; 08807 / 87393194 ; j.moore@mail.xyz ; ja
53 ; Frau ; Prof. ; Carla ; Herkules ; 2.10.1948 ; Parkallee 185 ; 65549 ; Limburg an der Lahn ; 06431 / 36251807 ; 0165 / 9076905 ; 06431 / 26858780 ; carla.herkules@mail.xyz ; ja
54 ; Herr ; Dr. ; Carsten ; Pfeilmacher ; 28.1.1938 ; Münsterstr. 197 ; 29549 ; Bad Bevensen ; 05821 / 68181099 ; 0163 / 4125371 ; 05821 / 56416253 ; carsten.pfeilmacher@mail.xyz ; ja
55 ; Herr ; Dr. ; Matis ; Hampton ; 19.4.1989 ; Breul 128 ; 97849 ; Roden ; 09396 / 74571110 ; 0179 / 3547485 ; 09396 / 64505655 ; matis.hampton@mail.xyz ; ja
56 ; Herr ; Dr. ; Patrick ; Stone ; 1.6.1971 ; Bünkamp 135 ; 97539 ; Wonfurt ; 09521 / 86154115 ; 0178 / 7121383 ; 09521 / 62866575 ; p.stone@mail.xyz ; ja
57 ; Herr ; Dr. ; Jan ; Noack ; 17.9.1965 ; Am Berler Kamp 41 ; 20355 ; Hamburg ; 040 / 36882811 ; 0153 / 6427338 ; 040 / 66508152 ; jan.noack@mail.xyz ; ja
58 ; Herr ; Dr. ; Swen ; Demel ; 21.11.1986 ; Rektoratsweg 157 ; 80687 ; München ; 089 / 94789209 ; 0166 / 7013213 ; 089 / 90841426 ; s.demel@mail.xyz ; ja
59 ; Herr ; Dr. ; Oscar ; Ebert ; 14.2.1924 ; Ulmenweg 189 ; 26215 ; Wiefelstede ; 04402 / 29785495 ; 0161 / 2219927 ; 04402 / 44549287 ; oscar.ebert@mail.xyz ; ja
60 ; Frau ; Dr. ; Saskia ; Vogler ; 12.9.1999 ; Röttgensweg 122 ; 73467 ; Kirchheim am Ries ; 07362 / 13225769 ; 0176 / 1099828 ; 07362 / 55216925 ; saskia.vogler@mail.xyz ; ja
61 ; Herr ; Dr. ; Dominik ; Abraham ; 13.2.1976 ; Am Oedingteich 73 ; 53347 ; Alfter ; 0228 / 53247422 ; 0168 / 3447280 ; 0228 / 36993385 ; d.abraham@mail.xyz ; ja
62 ; Herr ; Dr. ; Henning ; Conner ; 26.6.1922 ; Lassallestr. 148 ; 77797 ; Ohlsbach ; 07803 / 93116368 ; 0179 / 8822829 ; 07803 / 65241733 ; h.conner@mail.xyz ; ja
63 ; Herr ; Dr. ; Dario ; Dunn ; 5.3.1981 ; Manfred-von-Richthofen-Str. 120 ; 25767 ; Osterrade ; 04835 / 36682901 ; 0160 / 1727102 ; 04835 / 23243909 ; d.dunn@mail.xyz ; ja
64 ; Frau ; Dr. ; Margarete ; Moser ; 4.7.1971 ; Ringelnatzstr. 73 ; 88499 ; Riedlingen ; 07371 / 1997083 ; 0161 / 1682035 ; 07371 / 13245950 ; margarete.moser@mail.xyz ; ja
65 ; Herr ; Dr. ; Mathies ; Yildiz ; 16.12.1932 ; Mecklenbecker Str. 45 ; 73527 ; Schwäbisch Gmünd ; 07171 / 64050000 ; 0164 / 5646111 ; 07171 / 71882294 ; m.yildiz@mail.xyz ; ja
66 ; Frau ; Dr. ; Olivia ; Sonne ; 6.9.1937 ; Meesenstiege 117 ; 87480 ; Weitnau ; 08375 / 56991504 ; 0177 / 3342592 ; 08375 / 22907121 ; o.sonne@mail.xyz ; ja
67 ; Herr ; Dr. ; Carl ; Ehrlich ; 25.3.1924 ; Bernhard-Poether-Str. 175 ; 55592 ; Desloch ; 06753 / 58382149 ; 0150 / 3579018 ; 06753 / 44032524 ; c.ehrlich@mail.xyz ; ja
68 ; Herr ; Prof. ; Ralf ; Gerken ; 17.10.1980 ; Johann-Krane-Weg 34 ; 24783 ; Osterrönfeld ; 04331 / 42680079 ; 0172 / 8578944 ; 04331 / 40595973 ; r.gerken@mail.xyz ; ja
69 ; Herr ; Prof. ; Joschua ; Perkins ; 3.6.1996 ; Merheimer Str. 185 ; 57612 ; Helmeroth ; 02681 / 23522578 ; 0155 / 6587903 ; 02681 / 75362240 ; j.perkins@mail.xyz ; ja
70 ; Herr ; Dr. ; Nic ; Pauli ; 6.4.1983 ; Von-Holte-Str. 92 ; 12101 ; Berlin ; 030 / 15416577 ; 0178 / 7251986 ; 030 / 29757911 ; n.pauli@mail.xyz ; ja
71 ; Herr ; Prof. ; Niels ; Willer ; 26.11.1952 ; Friedrichstr. 141 ; 56220 ; Bassenheim ; 02625 / 82629344 ; 0162 / 1785216 ; 02625 / 67782506 ; n.willer@mail.xyz ; ja
72 ; Frau ; Prof. ; Diana ; Kanzler ; 16.9.1943 ; Stolbergstr. 20 ; 91741 ; Theilenhofen ; 09834 / 42391215 ; 0153 / 3769757 ; 09834 / 1577310 ; diana.kanzler@mail.xyz ; ja
73 ; Herr ; Dr. ; Dirk ; Adolf ; 25.8.1944 ; Baumberger Str. 135 ; 57632 ; Ziegenhain ; 02685 / 17686046 ; 0161 / 3507582 ; 02685 / 4420811 ; d.adolf@mail.xyz ; ja
74 ; Frau ; Dr. ; Fenja ; Opitz ; 10.12.1993 ; Möserweg 165 ; 25862 ; Kolkerheide ; 04671 / 88689081 ; 0179 / 5944330 ; 04671 / 4589633 ; fenja.opitz@mail.xyz ; ja
75 ; Frau ; Dr. ; Pauline ; Medina ; 4.7.1997 ; Ostmarkstr. 39 ; 91469 ; Hagenbüchach ; 09104 / 20583627 ; 0163 / 1259795 ; 09104 / 70075556 ; pauline.medina@mail.xyz ; ja
76 ; Herr ; Prof. ; Elias ; Gericke ; 15.12.1945 ; Kleiner Griechenmarkt 1 ; 45134 ; Essen ; 0201 / 88275197 ; 0179 / 3827651 ; 0201 / 37280206 ; elias.gericke@mail.xyz ; ja
77 ; Herr ; Dr. ; Laurin ; Flowers ; 5.11.1991 ; Frauenstr. 9a ; 23968 ; Barnekow ; 03841 / 61325329 ; 0170 / 9150435 ; 03841 / 36817078 ; laurin.flowers@mail.xyz ; ja
78 ; Frau ; Dr. ; Lieselotte ; Higgins ; 10.4.1934 ; Kösliner Str. 94a ; 54636 ; Bickendorf ; 06569 / 45744883 ; 0164 / 2594321 ; 06569 / 41086958 ; lieselotte.higgins@mail.xyz ; ja
79 ; Herr ; Dr. ; Oliver ; Sinn ; 6.2.1975 ; Schmeddingstr. 78 ; 99130 ; Dannheim ; 03628 / 97957879 ; 0169 / 5405971 ; 03628 / 23885797 ; o.sinn@mail.xyz ; ja
80 ; Herr ; Dr. ; Nils ; Pfeffer ; 14.9.1973 ; Albachtener Str. 186 ; 21438 ; Brackel ; 04185 / 25084299 ; 0168 / 7665826 ; 04185 / 6827020 ; n.pfeffer@mail.xyz ; ja
81 ; Herr ; Dr. ; Heinrich ; Gerstner ; 9.10.1983 ; Gustav-Tweer-Weg 84 ; 33647 ; Bielefeld ; 0521 / 32227762 ; 0162 / 3929317 ; 0521 / 64092866 ; heinrich.gerstner@mail.xyz ; ja
82 ; Herr ; Dr. ; Ole ; Doll ; 23.10.1949 ; Am Burloh 38 ; 01279 ; Dresden ; 0351 / 49653801 ; 0153 / 4601215 ; 0351 / 22624671 ; o.doll@mail.xyz ; ja
83 ; Herr ; Dr. ; Manuel ; Gassmann ; 17.2.1927 ; Emdener Str. 194 ; 23883 ; Sterley ; 04547 / 71130181 ; 0154 / 5954293 ; 04547 / 74705270 ; manuel.gassmann@mail.xyz ; ja
84 ; Frau ; Dr. ; Hannah ; Bayer ; 17.4.1941 ; Weseler Str. 66 ; 30539 ; Hannover ; 0511 / 32263390 ; 0153 / 7102615 ; 0511 / 12253847 ; hannah.bayer@mail.xyz ; ja
85 ; Herr ; Dr. ; Kay ; Rautenberg ; 10.4.2000 ; Horstmarer Landweg 74 ; 29358 ; Eicklingen ; 05144 / 74169417 ; 0178 / 2273680 ; 05144 / 54042855 ; k.rautenberg@mail.xyz ; ja
86 ; Frau ; Dr. ; Jana ; Reisser ; 15.9.1965 ; Von-der-Tinnen-Str. 58 ; 84558 ; Tyrlaching ; 08623 / 71897774 ; 0172 / 3475893 ; 08623 / 51762915 ; j.reisser@mail.xyz ; ja
87 ; Frau ; Dr. ; Heidi ; Philipp ; 19.12.1945 ; Möserweg 118 ; 23568 ; Lübeck ; 0451 / 55528826 ; 0174 / 3190159 ; 0451 / 18729705 ; heidi.philipp@mail.xyz ; ja
88 ; Frau ; Prof. ; Antonia ; Deckert ; 10.4.1938 ; Hoove 74 ; 27324 ; Eystrup ; 04254 / 32168191 ; 0178 / 7299817 ; 04254 / 2094479 ; a.deckert@mail.xyz ; ja
89 ; Frau ; Prof. ; Nele ; Schmid ; 8.10.1974 ; Am Burloh 173 ; 35321 ; Laubach ; 06405 / 51663409 ; 0178 / 8516574 ; 06405 / 14478692 ; n.schmid@mail.xyz ; ja
90 ; Frau ; Dr. ; Romy ; Hinrichsen ; 15.10.1972 ; Immelmannstr. 132 ; 10961 ; Berlin ; 030 / 13160579 ; 0165 / 2687427 ; 030 / 84707698 ; r.hinrichsen@mail.xyz ; ja
91 ; Frau ; Dr. ; Lya ; Lüke ; 15.2.1967 ; Osthuesheide 121 ; 55270 ; Bubenheim ; 06130 / 38087248 ; 0154 / 8733076 ; 06130 / 11706225 ; l.lueke@mail.xyz ; ja
92 ; Frau ; Dr. ; Heike ; Schwalbe ; 4.8.1988 ; Flaßkuhl 198 ; 92545 ; Niedermurach ; 09671 / 72376761 ; 0163 / 5674917 ; 09671 / 65307004 ; heike.schwalbe@mail.xyz ; ja
93 ; Herr ; Prof. ; Mert ; Pecher ; 17.1.1964 ; Meesenstiege 137a ; 56377 ; Seelbach ; 02604 / 76047690 ; 0164 / 9705691 ; 02604 / 72413204 ; m.pecher@mail.xyz ; ja
94 ; Herr ; Dr. ; Frank ; Baier ; 15.9.1958 ; Am Dornbusch 169 ; 26969 ; Butjadingen ; 04733 / 27100802 ; 0163 / 1582732 ; 04733 / 7362072 ; f.baier@mail.xyz ; ja
95 ; Herr ; Dr. ; Louis ; McGuire ; 27.8.1926 ; Alte Apotheke 122 ; 36093 ; Künzell ; 0661 / 9146015 ; 0160 / 6531938 ; 0661 / 42659792 ; l.mcguire@mail.xyz ; ja
96 ; Frau ; Dr. ; Jessica ; Scott ; 25.9.1986 ; Schmittingheide 2a ; 85391 ; Allershausen ; 08166 / 76708827 ; 0176 / 8990574 ; 08166 / 85705580 ; jessica.scott@mail.xyz ; ja
97 ; Herr ; Dr. ; Curt ; Allen ; 16.1.1990 ; Am Burloh 32 ; 53547 ; Breitscheid ; 02638 / 22248643 ; 0173 / 5181698 ; 02638 / 40233877 ; c.allen@mail.xyz ; ja
98 ; Frau ; Prof. ; Kristine ; Wagener ; 22.11.1924 ; Dreilinden 16 ; 52441 ; Ederen ; 02462 / 16870684 ; 0175 / 4430633 ; 02462 / 89991057 ; k.wagener@mail.xyz ; ja
99 ; Frau ; Dr. ; Karoline ; Stange ; 21.10.1955 ; Max-Winkelmann-Str. 87 ; 83544 ; Albaching ; 08076 / 64687589 ; 0171 / 1962800 ; 08076 / 89218741 ; k.stange@mail.xyz ; ja
100 ; Herr ; Prof. ; Rüdiger ; Wachter ; 7.11.1964 ; Sophienstr. 124 ; 25709 ; Diekhusen-Fahrstedt ; 04851 / 87123546 ; 0164 / 1920460 ; 04851 / 83983954 ; ruediger.wachter@mail.xyz ; ja
101 ; Frau ; Dr. ; Emilie ; Eberhardt ; 23.6.1959 ; Agrippastr. 65 ; 95505 ; Immenreuth ; 09642 / 99385731 ; 0162 / 9521247 ; 09642 / 90554411 ; emilie.eberhardt@mail.xyz ; ja
102 ; Herr ; Dr. ; Christoph ; Neuber ; 23.2.1990 ; Von-der-Tinnen-Str. 27 ; 88400 ; Biberach an der Riß ; 07351 / 13084852 ; 0153 / 7002728 ; 07351 / 25867642 ; c.neuber@mail.xyz ; ja
103 ; Herr ; Dr. ; Harald ; Reich ; 16.11.1935 ; Teutonenstr. 5 ; 92447 ; Holzhof ; 09675 / 1963802 ; 0154 / 6375941 ; 09675 / 63966403 ; harald.reich@mail.xyz ; ja
104 ; Frau ; Dr. ; Viktoria ; Henze ; 15.1.1948 ; Münsterstr. 195 ; 67693 ; Fischbach ; 06305 / 69405796 ; 0178 / 2780379 ; 06305 / 22821685 ; viktoria.henze@mail.xyz ; ja
105 ; Herr ; Dr. ; Tobias ; Uhlig ; 6.5.1926 ; Oberschlesier Str. 43 ; 94491 ; Hengersberg ; 09901 / 67826425 ; 0174 / 2668913 ; 09901 / 13688081 ; t.uhlig@mail.xyz ; ja
106 ; Frau ; Dr. ; Waltraud ; Newton ; 27.4.1933 ; Uhuweg 26 ; 26340 ; Zetel ; 04453 / 62549480 ; 0173 / 9938484 ; 04453 / 56116521 ; waltraud.newton@mail.xyz ; ja
107 ; Frau ; Dr. ; Angelika ; Patterson ; 4.12.1948 ; Im Sonnentau 70 ; 24248 ; Mönkeberg ; 0431 / 5915112 ; 0155 / 1896101 ; 0431 / 760855 ; a.patterson@mail.xyz ; ja
108 ; Frau ; Dr. ; Jonna ; Kanone ; 9.4.1953 ; Am Nubbenberg 88a ; 56814 ; Ediger-Eller ; 02675 / 30356420 ; 0157 / 8785353 ; 02675 / 71496686 ; j.kanone@mail.xyz ; ja
109 ; Herr ; Dr. ; Daniel ; Biedermann ; 24.1.1945 ; Südstr. 24 ; 55606 ; Heimweiler ; 06752 / 5331360 ; 0160 / 8687063 ; 06752 / 92772565 ; d.biedermann@mail.xyz ; ja
110 ; Frau ; Dr. ; Antonia ; Barilovic ; 14.8.1951 ; Friesenring 79 ; 66871 ; Haschbach am Remigiusberg ; 06381 / 36618419 ; 0163 / 9187622 ; 06381 / 85806137 ; antonia.barilovic@mail.xyz ; ja
111 ; Herr ; Prof. ; Jan ; Moody ; 28.6.1956 ; Mersmannsstiege 41 ; 53804 ; Much ; 02245 / 35266723 ; 0167 / 6251134 ; 02245 / 55603904 ; jan.moody@mail.xyz ; ja
112 ; Frau ; Prof. ; Katarina ; Wiedmann ; 6.5.1962 ; Gremmendorfer Weg 73 ; 60313 ; Frankfurt am Main ; 069 / 35053308 ; 0166 / 1004896 ; 069 / 12067324 ; k.wiedmann@mail.xyz ; ja
113 ; Herr ; Prof. ; Mika ; Feil ; 14.12.1971 ; Langestr. 148 ; 37534 ; Gittelde ; 05327 / 46318630 ; 0173 / 6034169 ; 05327 / 74236827 ; m.feil@mail.xyz ; ja
114 ; Herr ; Dr. ; Sven ; Barilovic ; 27.6.1936 ; Osthuesheide 3 ; 86856 ; Hiltenfingen ; 08232 / 83806933 ; 0173 / 8128296 ; 08232 / 35153453 ; s.barilovic@mail.xyz ; ja
115 ; Herr ; Dr. ; Mathias ; Freie ; 4.7.1945 ; Drachterstr. 98 ; 31698 ; Lindhorst ; 05725 / 67886482 ; 0159 / 7517351 ; 05725 / 49189454 ; mathias.freie@mail.xyz ; ja
116 ; Herr ; Dr. ; Oscar ; Jagd ; 27.12.1999 ; Cheruskerstr. 79 ; 24143 ; Kiel ; 0431 / 5182098 ; 0167 / 9222781 ; 0431 / 69319578 ; oscar.jagd@mail.xyz ; ja
117 ; Herr ; Dr. ; Victor ; Kaul ; 2.9.1950 ; Telgenweg 4 ; 55481 ; Ober Kostenz ; 06763 / 47359929 ; 0163 / 6620056 ; 06763 / 67230929 ; victor.kaul@mail.xyz ; ja
